actor_id,actor_name
nm0000138,Leonardo DiCaprio
nm0000701,Kate Winslet
nm0000708,Billy Zane
nm0000870,Kathy Bates
nm0941777,Sam Worthington
nm0757855,Zoe Saldana
nm0000244,Sigourney Weaver
nm0735442,Michelle Rodriguez
nm0000354,Matt Damon
nm0000197,Jack Nicholson
nm0000242,Mark Wahlberg
nm0607865,Emily Mortimer
nm0749263,Mark Ruffalo
nm0001426,Ben Kingsley
nm0000134,Robert De Niro
nm0000501,Ray Liotta
nm0000582,Joe Pesci
nm0000966,Lorraine Bracco
nm0000199,Al Pacino
nm0000172,Harvey Keitel
nm0350453,Jake Gyllenhaal
nm0000623,Rene Russo
nm0000200,Bill Paxton
nm1981893,Riz Ahmed
nm0540441,Jena Malone
nm0001521,Mary McDonnell
nm0651660,Holmes Osborne
nm6073955,Florence Pugh
nm2930503,Jack Reynor
nm9859585,Vilhelm Blomgren
nm2860379,William Jackson Harper
nm0004951,Brad Garrett
nm0738918,Lou Romano
nm0652663,Patton Oswalt
nm0000453,Ian Holm
nm0000237,John Travolta
nm0000235,Uma Thurman
nm0000168,Samuel L. Jackson
nm0000246,Bruce Willis
nm0000375,Robert Downey Jr.
nm0262635,Chris Evans
nm1165110,Chris Hemsworth
nm0000093,Brad Pitt
nm3053338,Margot Robbie
nm0386472,Emile Hirsch
nm0005023,Djimon Hounsou
nm0000124,Jennifer Connelly
nm2218894,Kagiso Kuypers
nm4446467,Tye Sheridan
nm4972453,Olivia Cooke
nm0578853,Ben Mendelsohn
nm2913119,Lena Waithe
nm0695435,Chris Pratt
nm0004874,Vin Diesel
nm0177896,Bradley Cooper
nm0000867,Jason Bateman
nm1046097,Rachel McAdams
nm0151419,Kyle Chandler
nm1279721,Sharon Horgan
nm0001687,Gena Rowlands
nm0001258,James Garner
nm0331516,Ryan Gosling
nm0837177,Jason Sudeikis
nm0000098,Jennifer Aniston
nm0731075,Emma Roberts
nm1159180,Ed Helms
nm0000206,Keanu Reeves
nm0000401,Laurence Fishburne
nm0005251,Carrie-Anne Moss
nm0915989,Hugo Weaving
nm0638824,Michael Nyqvist
nm0654295,Alfie Allen
nm0000353,Willem Dafoe
nm0000129,Tom Cruise
nm0000209,Tim Robbins
nm0000534,Kelly McGillis
nm0000174,Val Kilmer
nm0000226,Will Smith
nm0628601,Thandiwe Newton
nm1535523,Jaden Smith
nm0397788,Brian Howe
nm0001073,Courteney Cox
nm0001435,Lisa Kudrow
nm0001455,Matt LeBlanc
nm0255124,Tom Ellis
nm0314514,Lauren German
nm1204760,Kevin Alejandro
nm0940851,D.B. Woodside
nm1065454,Tricia Helfer
nm6216001,K.J. Apa
nm3929887,Lili Reinhart
nm6161516,Camila Mendes
nm0819850,Cole Sprouse
nm6663708,Madelaine Petsch
nm7994181,Casey Cott
nm0605081,Vanessa Morgan
nm0000749,MÃ¤dchen Amick
nm0117206,Peter Bryant
nm3653087,Major Curda
nm6217576,Charles Melton
nm0819851,Dylan Sprouse
nm0814259,Brenda Song
nm0864308,Ashley Tisdale
nm0005254,Tahj Mowry
nm0428426,John Marshall Jones
nm0915868,Jason Weaver
nm0328954,Omar Gooding
nm0040591,Essence Atkins
nm0043041,James Avery
nm0717227,Daphne Reid
nm0005355,Alfonso Ribeiro
nm0399494,Janet Hubert
nm0663854,Karyn Parsons
nm0000221,Charlie Sheen
nm0001083,Jon Cryer
nm0427489,Angus T. Jones
nm0385792,Marin Hinkle
nm0005394,Jeri Ryan
nm0108295,Paget Brewster
nm0852466,Holland Taylor
nm0001491,Melanie Lynskey
nm0004916,Conchata Ferrell
nm0528331,Jane Lynch
nm0890808,Liz Vassey
nm0170422,Ralph Cole Jr.
nm1763049,April Bowlby
nm0703910,Kimberly Quinn
nm0086806,Susan Blakely
nm0852569,Jennifer Taylor
nm0005110,Ashton Kutcher
nm0339460,Judy Greer
nm0005489,Courtney Thorne-Smith
nm1415323,Miley Cyrus
nm1066970,Rico E. Anderson
nm1175262,Brooke D'Orsay
nm0848554,Amber Tamblyn
nm0566052,Edie McClurg
nm0878768,Aisha Tyler
nm0000665,D.B. Sweeney
nm0830198,Ryan Stiles
nm6584283,Edan Alexander
nm0810488,Bill Smitrovich
nm0219292,David Denman
nm0493279,Maggie Lawson
nm0074036,Bob Bergen
nm1026906,Roger V. Burton
nm0178875,Chris Coppola
nm0301959,Johnny Galecki
nm1433588,Jim Parsons
nm0192505,Kaley Cuoco
nm0374865,Simon Helberg
nm0052754,Iris Bahr
nm1303038,Amanda Walsh
nm2471798,Kunal Nayyar
nm1543989,Aml Ameen
nm0046277,Bae Doona
nm3911870,Jamie Clayton
nm3867591,Tina Desai
nm3095562,Tuppence Middleton
nm1102140,Josh Radnor
nm0781981,Jason Segel
nm1130627,Cobie Smulders
nm0000439,Neil Patrick Harris
nm2129662,Cristin Milioti
nm0004989,Alyson Hannigan
nm0004266,Anne Hathaway
nm0000158,Tom Hanks
nm0000638,William Shatner
nm0000614,Alan Rickman
nm0000702,Reese Witherspoon